"","01N","01R","04R","06N","06R","08N","08R","02N","02R","05N","05R","11N","11R","07N","07R","09N","09R","12N","12R","13N","13R","10N","14N","15N","15R","16N","16R","21N","21R","34N","34R","43N","43R","23N","23R","26N","26R","27N","27R"
"Aspartic.acid",236.230642824948,200.69215113618,221.997684539329,200.69215113618,150.086420503994,277.892829838971,103.410786619769,322.492338994096,302.470356902806,348.88871914883,174.188788398358,277.892829838971,348.88871914883,236.230642824948,134.644308083989,252.867558174711,187.255863942155,200.69215113618,302.470356902806,302.470356902806,162.565885792067,187.255863942155,162.565885792067,109.241082277615,322.492338994096,221.997684539329,277.892829838971,103.410786619769,117.084877237828,187.255863942155,134.644308083989,134.644308083989,174.188788398358,162.565885792067,236.230642824948,174.188788398358,252.867558174711,187.255863942155,187.255863942155
"dAMP",21886.6339520533,30851.5191232361,15504.1726745899,19692.1904694505,27422.0312212801,13204.8354094822,30851.5191232361,15504.1726745899,19692.1904694505,17637.4280720504,17637.4280720504,21886.6339520533,21886.6339520533,21886.6339520533,30851.5191232361,21886.6339520533,21886.6339520533,24475.7746121492,17637.4280720504,15504.1726745899,13204.8354094822,19692.1904694505,21886.6339520533,27422.0312212801,17637.4280720504,27422.0312212801,25948.9029167146,13204.8354094822,19692.1904694505,27422.0312212801,19692.1904694505,27422.0312212801,21886.6339520533,24475.7746121492,27422.0312212801,13204.8354094822,30851.5191232361,24475.7746121492,24475.7746121492
"Cinnamoylglycine",628.284256653045,773.053265818277,834.820868174203,725.678310941164,834.820868174203,725.678310941164,897.003278044817,773.053265818277,674.732896776118,470.063165356097,773.053265818277,433.603104775728,773.053265818277,725.678310941164,897.003278044817,773.053265818277,773.053265818277,983.955096095811,725.678310941164,983.955096095811,1311.61262796431,1048.10610201149,834.820868174203,674.732896776118,834.820868174203,773.053265818277,525.912616630155,983.955096095811,983.955096095811,502.219211253746,674.732896776118,555.132077065354,628.284256653045,674.732896776118,470.063165356097,725.678310941164,674.732896776118,555.132077065354,897.003278044817
"Arginine",24475.7746121492,19692.1904694505,24475.7746121492,21886.6339520533,17637.4280720504,24475.7746121492,15504.1726745899,27422.0312212801,27422.0312212801,30851.5191232361,27422.0312212801,38489.0675109872,27422.0312212801,24475.7746121492,21886.6339520533,30851.5191232361,24475.7746121492,27422.0312212801,27422.0312212801,38489.0675109872,24475.7746121492,17637.4280720504,13204.8354094822,19692.1904694505,27422.0312212801,30851.5191232361,19692.1904694505,17637.4280720504,17637.4280720504,17637.4280720504,24475.7746121492,15504.1726745899,15504.1726745899,17637.4280720504,21886.6339520533,24475.7746121492,21886.6339520533,19692.1904694505,17637.4280720504
"Creatine",3069.40527455808,6181.84466573814,3508.49852740477,2648.7836519679,2088.3465518013,4561.94938107872,2648.7836519679,5507.07366807565,2648.7836519679,3069.40527455808,3069.40527455808,3069.40527455808,3508.49852740477,4896.61939574187,2648.7836519679,4561.94938107872,2648.7836519679,5208.57852055161,5208.57852055161,3069.40527455808,3508.49852740477,983.955096095811,1206.53639893362,2648.7836519679,525.912616630155,897.003278044817,1131.9750081377,1855.64821616385,1311.61262796431,2375.54122287164,1441.77012893828,1855.64821616385,1855.64821616385,1048.10610201149,1695.31198527865,983.955096095811,2088.3465518013,2088.3465518013,1695.31198527865
"X3.phenylpropionate",87.760525569395,103.410786619769,83.4934159055613,98.0695532546108,87.760525569395,109.241082277615,92.025377911753,78.0223824335207,117.084877237828,117.084877237828,92.025377911753,109.241082277615,103.410786619769,109.241082277615,109.241082277615,103.410786619769,92.025377911753,103.410786619769,125.951016722903,87.760525569395,83.4934159055613,109.241082277615,92.025377911753,92.025377911753,87.760525569395,83.4934159055613,103.410786619769,92.025377911753,92.025377911753,83.4934159055613,83.4934159055613,78.0223824335207,87.760525569395,87.760525569395,62.1205191988589,53.0425699484478,87.760525569395,83.4934159055613,83.4934159055613
"Deoxyguanosine",33.7844840551749,54.8796425810326,40.8170596336858,70.0420533732402,33.7844840551749,75.6158087552225,46.8735238155336,40.8170596336858,54.8796425810326,59.4186172062382,64.4976954342075,43.5900343139324,59.4186172062382,40.8170596336858,29.3134623830326,46.8735238155336,40.8170596336858,33.7844840551749,37.9171827168361,40.8170596336858,25.064881024208,43.5900343139324,40.8170596336858,40.8170596336858,40.8170596336858,37.9171827168361,40.8170596336858,43.5900343139324,37.9171827168361,40.8170596336858,46.8735238155336,40.8170596336858,40.8170596336858,46.8735238155336,21.4226427291172,21.4226427291172,25.064881024208,46.8735238155336,54.8796425810326
"Guanine",33.7844840551749,54.8796425810326,40.8170596336858,70.0420533732402,33.7844840551749,75.6158087552225,46.8735238155336,40.8170596336858,54.8796425810326,59.4186172062382,64.4976954342075,43.5900343139324,59.4186172062382,40.8170596336858,29.3134623830326,46.8735238155336,40.8170596336858,33.7844840551749,37.9171827168361,40.8170596336858,25.064881024208,43.5900343139324,40.8170596336858,40.8170596336858,40.8170596336858,37.9171827168361,40.8170596336858,43.5900343139324,37.9171827168361,40.8170596336858,46.8735238155336,40.8170596336858,40.8170596336858,46.8735238155336,21.4226427291172,21.4226427291172,25.064881024208,46.8735238155336,54.8796425810326
"X3.Hydroxyanthranilic.acid",174.188788398358,373.357194911502,134.644308083989,174.188788398358,78.0223824335207,302.470356902806,302.470356902806,373.357194911502,470.063165356097,555.132077065354,403.98671612782,162.565885792067,134.644308083989,433.603104775728,348.88871914883,525.912616630155,373.357194911502,302.470356902806,322.492338994096,433.603104775728,348.88871914883,348.88871914883,277.892829838971,200.69215113618,221.997684539329,174.188788398358,302.470356902806,236.230642824948,236.230642824948,174.188788398358,236.230642824948,174.188788398358,373.357194911502,302.470356902806,150.086420503994,162.565885792067,174.188788398358,221.997684539329,236.230642824948
"ATP",13.4133753750081,13.4133753750081,7.35437167502222,11.4393203393605,11.4393203393605,9.36855293191519,7.35437167502222,19.8407528713402,11.4393203393605,7.35437167502222,9.36855293191519,19.8407528713402,9.36855293191519,31.5016953045435,11.4393203393605,23.0045325868943,15.4937090221724,19.8407528713402,23.0045325868943,13.4133753750081,17.2062924089171,15.4937090221724,3.92719630428404,3.92719630428404,17.2062924089171,5.53138028797023,9.36855293191519,5.53138028797023,9.36855293191519,9.36855293191519,5.53138028797023,5.53138028797023,3.92719630428404,7.35437167502222,3.92719630428404,13.4133753750081,7.35437167502222,3.92719630428404,2.59595456905872
"CMP",3752.7069928909,4386.6507967753,5208.57852055161,4104.13383542445,4104.13383542445,3752.7069928909,4104.13383542445,3288.95190098142,4104.13383542445,4104.13383542445,4104.13383542445,4104.13383542445,4104.13383542445,2512.16243741977,4729.2843884103,3288.95190098142,4386.6507967753,6014.74311579701,4729.2843884103,4729.2843884103,5052.59895814674,4104.13383542445,4729.2843884103,4729.2843884103,4104.13383542445,5052.59895814674,3752.7069928909,4104.13383542445,5052.59895814674,3752.7069928909,4104.13383542445,4386.6507967753,3752.7069928909,4729.2843884103,4104.13383542445,4104.13383542445,5357.82609431363,4104.13383542445,5052.59895814674
"Histidine",3752.7069928909,4386.6507967753,5208.57852055161,4104.13383542445,4104.13383542445,3752.7069928909,4104.13383542445,3288.95190098142,4104.13383542445,4104.13383542445,4104.13383542445,4104.13383542445,4104.13383542445,2512.16243741977,4729.2843884103,3288.95190098142,4386.6507967753,6014.74311579701,4729.2843884103,4729.2843884103,5052.59895814674,4104.13383542445,4729.2843884103,4729.2843884103,4104.13383542445,5052.59895814674,3752.7069928909,4104.13383542445,5052.59895814674,3752.7069928909,4104.13383542445,4386.6507967753,3752.7069928909,4729.2843884103,4104.13383542445,4104.13383542445,5357.82609431363,4104.13383542445,5052.59895814674
"Phenylalanine",7079.58776693451,8065.11048746998,8065.11048746998,7577.09311513265,8712.06926877734,7577.09311513265,7577.09311513265,7577.09311513265,5208.57852055161,6181.84466573814,6652.3398309936,6652.3398309936,7079.58776693451,6652.3398309936,6417.09224836587,7079.58776693451,6652.3398309936,8712.06926877734,5847.64156585588,6652.3398309936,8065.11048746998,8065.11048746998,7079.58776693451,5847.64156585588,7821.10180130131,7079.58776693451,6417.09224836587,6652.3398309936,8712.06926877734,7079.58776693451,8065.11048746998,6181.84466573814,5847.64156585588,8712.06926877734,6181.84466573814,7328.34044103358,6181.84466573814,8388.58987812366,7328.34044103358
"phenyllactate..PLA.",27.1252294615218,39.7670926278659,36.0672728058063,27.1252294615218,41.8670266395058,36.0672728058063,36.0672728058063,27.1252294615218,36.0672728058063,48.4340056427082,48.4340056427082,39.7670926278659,48.4340056427082,62.1205191988589,73.2092350769244,39.7670926278659,48.4340056427082,39.7670926278659,66.874871669556,103.410786619769,31.5016953045435,31.5016953045435,36.0672728058063,45.313041988359,36.0672728058063,27.1252294615218,45.313041988359,39.7670926278659,31.5016953045435,53.0425699484478,36.0672728058063,31.5016953045435,45.313041988359,36.0672728058063,45.313041988359,31.5016953045435,48.4340056427082,36.0672728058063,31.5016953045435
"Quinolinate",39.7670926278659,48.4340056427082,15.4937090221724,39.7670926278659,27.1252294615218,45.313041988359,66.874871669556,31.5016953045435,27.1252294615218,39.7670926278659,31.5016953045435,53.0425699484478,15.4937090221724,36.0672728058063,41.8670266395058,53.0425699484478,45.313041988359,23.0045325868943,17.2062924089171,19.8407528713402,103.410786619769,48.4340056427082,87.760525569395,31.5016953045435,27.1252294615218,41.8670266395058,92.025377911753,48.4340056427082,23.0045325868943,45.313041988359,39.7670926278659,48.4340056427082,31.5016953045435,41.8670266395058,48.4340056427082,15.4937090221724,31.5016953045435,73.2092350769244,36.0672728058063
